Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
210,Kyrie Irving,PG,30,BRK,15,15,36.5,9.2,19.3,.476,2.7,8.4,.325,6.5,10.9,.591,.547,3.5,3.9,.914,0.5,3.6,4.1,4.3,0.9,1.0,2.2,3.0,24.7,irvinky01
211,Jaden Ivey,SG,20,DET,20,19,32.0,5.8,13.7,.420,1.5,4.8,.316,4.3,9.0,.475,.474,3.2,4.4,.727,1.2,3.6,4.8,4.4,1.1,0.3,2.7,2.9,16.2,iveyja01
212,Isaiah Jackson,PF,21,IND,20,3,16.6,2.6,4.6,.565,0.0,0.2,.000,2.6,4.5,.584,.565,2.0,2.9,.702,1.6,3.1,4.7,1.1,0.6,1.2,1.0,2.4,7.2,jacksis01
213,Jaren Jackson Jr.,C,23,MEM,6,6,25.7,6.2,13.3,.463,1.7,5.5,.303,4.5,7.8,.574,.525,4.5,5.8,.771,2.2,4.7,6.8,0.2,1.0,3.0,1.5,3.0,18.5,jacksja02
214,Justin Jackson,SF,27,BOS,8,0,5.6,0.3,1.3,.200,0.3,1.1,.222,0.0,0.1,.000,.300,0.0,0.0,,0.0,0.6,0.6,0.3,0.3,0.1,0.0,0.3,0.8,jacksju01
215,Reggie Jackson,PG,32,LAC,23,23,29.4,4.7,10.8,.440,1.5,4.4,.347,3.2,6.4,.503,.510,1.5,1.7,.921,0.3,2.3,2.7,4.6,0.7,0.1,2.2,1.9,12.5,jacksre01
216,LeBron James,PF,38,LAL,14,14,35.3,9.9,21.2,.468,2.4,7.5,.324,7.5,13.7,.547,.525,3.5,4.9,.721,1.5,7.1,8.6,6.3,1.1,0.7,3.6,1.9,25.8,jamesle01
217,Ty Jerome,SG,25,GSW,9,0,16.3,2.0,3.8,.529,0.8,1.9,.412,1.2,1.9,.647,.632,1.3,1.3,1.000,0.1,0.9,1.0,2.0,0.1,0.1,0.4,1.3,6.1,jeromty01
218,Isaiah Joe,SG,23,OKC,16,0,8.1,1.6,3.4,.473,1.3,2.9,.435,0.4,0.6,.667,.655,0.4,0.6,.778,0.1,1.2,1.3,0.9,0.3,0.1,0.3,0.9,4.9,joeis01
219,Alize Johnson,PF,26,SAS,1,0,7.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,johnsal02
220,Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0,johnsca02
